Title,Author,Genres,Publication Year,Popularity,Rank
Pride and Prejudice,Jane Austen,"fiction, romance, historical, regency, british and irish fiction (fictional works by one author), brothers and sisters, courtship, drama",1813,4036,1
Alice's Adventures in Wonderland,Lewis Carroll,"alice (fictitious character : carroll), fiction, british and irish fiction (fictional works by one author), fiction, fantasy, general, fiction, classics",1865,3546,2
Bible,Bible,"manuscripts, latin (medieval and modern), glossaries, vocabularies, bible, religion",1200,3173,3
The Picture of Dorian Gray,Oscar Wilde,"british and irish fiction (fictional works by one author), conduct of life, fiction, fantasy fiction, appearance (philosophy), fiction",1890,3007,4
Wuthering Heights,Emily Brontë,"british and irish fiction (fictional works by one author), children's fiction, classic fiction, classic literature, country homes",1846,2885,5
A Christmas Carol,Charles Dickens,"ghost stories, ebenzer scrooge (fictitious character), open_syllabus_project, cartoons and comics",1843,2727,7
Adventures of Huckleberry Finn,Mark Twain,"adventure and adventurers, adventure stories, american fiction (fictional works by one author), american literature, boys",1876,2552,8
Emma,Jane Austen,"social life and customs, mate selection, fiction, fathers and daughters, open_syllabus_project",1815,2261,9
Hamlet,William Shakespeare,"performing arts, stage history, reyes, reinas, soberanos, venganza, history and criticism",1603,2120,10
A Tale of Two Cities,Charles Dickens,"british, british and irish fiction (fictional works by one author), children's fiction, criticism and interpretation, english fiction",1800,2059,11
The Wonderful Wizard of Oz,L. Frank Baum,"witches, toy and movable books, spanish language materials, fiction, wizards",1899,2052,12
Sense and Sensibility,Jane Austen,"fiction, romance, historical, regency, inheritance and succession, fiction, mate selection, fiction, social classes, fiction, family life, fiction",1811,2015,13
Treasure Island,Robert Louis Stevenson,"fiction, treasure island (imaginary place), treasure-trove, pirates, treasure troves",1880,1985,14
Little Women,Louisa May Alcott,"romans, jeunes filles, soeurs, sisters, young women",1848,1888,15
Gulliver's Travels,Jonathan Swift,"ya, young adult, fiction, fantasy",1726,1810,16
The Call of the Wild,Jack London,"gold discoveries, bienestar, lobos, descubrimiento de oro, crítica e interpretación",1903,1699,17
Don Quijote de la Mancha,Miguel de Cervantes Saavedra,"don quixote (cervantes saavedra, miguel de), quotations, knights and knighthood, social life and customs, fiction",1600,1590,18
King Lear,William Shakespeare,"drama, king lear (legendary character), fathers and daughters, kings and rulers, inheritance and succession",1608,1544,19
A Midsummer Night's Dream,William Shakespeare,"drama, courtship, plays, hippolyta (greek mythology), theseus (greek mythology)",1600,1485,20
A Study in Scarlet,Arthur Conan Doyle,"action & adventure fiction, aortic aneurysm, battle of maiwand, blessing and cursing, british and irish fiction (fictional works by one author)",1887,1446,21
Divina Commedia,Dante Alighieri,"poetry (poetic works by one author), literatura, portraits, paradise, poetry",1472,1334,22
Анна Каренина,Лев Толстой,"fiction, adultery, married women, social life and customs, social conditions",1876,1314,23
Persuasion,Jane Austen,"fiction, romance, historical, regency, love stories, english, moški in ženske, v leposlovju, medosebni odnosi",1789,1235,24
Julius Caesar,William Shakespeare,"antoine (marcus antonius), assassination, assassins, bibliography, biography",1656,1226,25
The Great Gatsby,F. Scott Fitzgerald,"married people, fiction, american fiction (fictional works by one author), fiction, psychological, long island (n.y.), fiction, fiction",1920,1176,26
Jane Eyre,Charlotte Brontë,"fiction, romance, historical"", man-woman relationships, fiction, charity schools, fiction",1847,1170,27
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,"classic literature, murder, mystery, conclusions, amorality",1892,1132,28
Mansfield Park,Jane Austen,"love stories, english, fiction, romance, historical, regency, social life and customs, adoptees, fiction, poor families, fiction",1814,1107,29
Les Trois Mousquetaires,"Alexandre Dumas, Auguste Maquet","history, fiction, swordsmen, france in fiction, vietnamese language books",1844,1102,30
The Mysterious Affair at Styles,Agatha Christie,"fiction, mystery, crime fiction, mystery thriller, thriller",1920,1091,31
Ἰλιάς,Όμηρος,"odysseus (greek mythology), poetry, greeks, poetry",1505,1084,32
Candide,"Voltaire, William Fleming, Philip Littell, Jack Davenport","conduct of life, literatura francesa, satire, fiction",1746,1079,33
Ὀδύσσεια,Όμηρος,"great_books_of_the_western_world, poetry, fiction, classical literature, open library staff picks",1488,1061,34
Hard Times,Charles Dickens,"fiction, social problems, utilitarianism, education, social life and customs",1854,1028,35
Captains Courageous,Rudyard Kipling,"teenage boys, fishers, fiction, interpersonal relations, reading",1896,990,36
Romeo and Juliet,William Shakespeare,"classical literature, british and irish drama (dramatic works by one author), conflicto entre generaciones, conflict of generations, courtship",1597,975,37
The Sign of Four,Arthur Conan Doyle,"crime & mystery, classic fiction, andamanese, arrow poisons, bloguns",1889,961,38
Macbeth,William Shakespeare,"drama, regicides, kings and rulers, texts, french-canadian dialect",1508,957,39
Die Verwandlung,Franz Kafka,"fantasy fiction, children's fiction, lectures et morceaux choisis, fantastique, nouvelles",1915,953,40
The Adventures of Tom Sawyer,Mark Twain,"the adventures of tom sawyer, mark twain, 1835-1910, 19th century, historical",1817,879,41
