Title,Author,Genres,Publication Year,Popularity,Rank
Pride and Prejudice,Jane Austen,"Fiction, Romance, Historical, Regency, British and Irish fiction (fictional works by one author), Brothers and sisters, Courtship, Drama",1813,4036,1
Alice's Adventures in Wonderland,Lewis Carroll,"Alice (fictitious character : carroll), fiction, British and irish fiction (fictional works by one author), Fiction, fantasy, general, JUVENILE FICTION, classics",1865,3546,2
Bible,Bible,"Manuscripts, Latin (Medieval and modern), Glossaries, vocabularies, Early works to 1800, Bible, Religion",1200,3173,3
The Picture of Dorian Gray,Oscar Wilde,"British and irish fiction (fictional works by one author), Conduct of life, fiction, Fantasy fiction, Appearance (Philosophy), Fiction",1890,3007,4
Wuthering Heights,Emily Brontë,"British and irish fiction (fictional works by one author), Children's fiction, Classic fiction, Classic Literature, Country homes",1846,2885,5
Coloring Book,Donald Nguyen,Baseball,2019,2735,6
A Christmas Carol,Charles Dickens,"Ghost stories, Readers, Ebenzer Scrooge (Fictitious character), open_syllabus_project, Cartoons and comics",1843,2727,7
Adventures of Huckleberry Finn,Mark Twain,"adventure and adventurers, Adventure stories, American fiction (fictional works by one author), American literature, Boys",1876,2552,8
Emma,Jane Austen,"Social life and customs, Mate selection, Fiction, Fathers and daughters, open_syllabus_project",1815,2261,9
Hamlet,William Shakespeare,"performing arts, Stage history, Reyes, reinas, soberanos, Venganza, History and criticism",1603,2120,10
A Tale of Two Cities,Charles Dickens,"British, British and irish fiction (fictional works by one author), Children's fiction, Criticism and interpretation, English fiction",1800,2059,11
The Wonderful Wizard of Oz,L. Frank Baum,"Witches, Toy and movable books, Spanish language materials, Fiction, Wizards",1899,2052,12
Sense and Sensibility,Jane Austen,"Fiction, Romance, Historical, Regency, Inheritance and succession, fiction, Mate selection, fiction, Social classes, fiction, Family life, fiction",1811,2015,13
Treasure Island,Robert Louis Stevenson,"Fiction, Treasure Island (Imaginary place), Treasure-trove, Pirates, Treasure troves",1880,1985,14
Little Women,Louisa May Alcott,"Romans, Jeunes filles, Soeurs, Sisters, Young women",1848,1888,15
Gulliver's Travels,Jonathan Swift,"YA, Young adult, Juvenile, Fiction, Fantasy",1726,1810,16
The Call of the Wild,Jack London,"Gold discoveries, Bienestar, Lobos, Descubrimiento de oro, Crítica e interpretación",1903,1699,17
Don Quijote de la Mancha,Miguel de Cervantes Saavedra,"Don Quixote (Cervantes Saavedra, Miguel de), Quotations, Knights and knighthood, Social life and customs, Fiction",1600,1590,18
King Lear,William Shakespeare,"Drama, King Lear (Legendary character), Fathers and daughters, Kings and rulers, Inheritance and succession",1608,1544,19
A Midsummer Night's Dream,William Shakespeare,"Drama, Courtship, Plays, Hippolyta (Greek mythology), Theseus (Greek mythology)",1600,1485,20
A Study in Scarlet,Arthur Conan Doyle,"Action & Adventure Fiction, aortic aneurysm, Battle of Maiwand, Blessing and cursing, British and irish fiction (fictional works by one author)",1887,1446,21
Divina Commedia,Dante Alighieri,"Poetry (poetic works by one author), Literatura, Portraits, Paradise, Poetry",1472,1334,22
Анна Каренина,Лев Толстой,"Fiction, Adultery, Married women, Social life and customs, Social conditions",1876,1314,23
Persuasion,Jane Austen,"Fiction, Romance, Historical, Regency, Love stories, English, Moški in ženske, V leposlovju, Medosebni odnosi",1789,1235,24
Julius Caesar,William Shakespeare,"Antoine (Marcus Antonius), Assassination, Assassins, Bibliography, Biography",1656,1226,25
The Great Gatsby,F. Scott Fitzgerald,"Married people, fiction, American fiction (fictional works by one author), Fiction, psychological, Long island (n.y.), fiction, Fiction",1920,1176,26
Jane Eyre,Charlotte Brontë,"Fiction, Romance, Historical"", Man-woman relationships, fiction, Charity schools, fiction",1847,1170,27
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,"Classic Literature, Murder, Mystery, Conclusions, amorality",1892,1132,28
Mansfield Park,Jane Austen,"Love stories, English, Fiction, Romance, Historical, Regency, Social life and customs, Adoptees,  fiction, Poor families, fiction",1814,1107,29
